Esp;Nesp;Nesp2;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
FMd;FMd;FMd;;;;;;bat;;Chauve-souris
FMd-QCF;FMd-QCF;FMd-QCF;;;;;;bat;;Chauve-souris
FMu-QCF;FMu-QCF;FMu-QCF;;;;;;bat;;Chauve-souris
FMu-CF-FMd;FMu-CF-FMd;FMu-CF-FMd;;;;;;bat;;Chauve-souris
FMu-QCF-FMd;FMu-QCF-FMd;FMu-QCF-FMd;;;;;;bat;;Chauve-souris
Fricoe;piaf;piaf;x;x;x;x;Fringilla coelebs;bird;Pinson des arbres;Chauve-souris
Frimon;piaf;piaf;x;x;x;x;Fringilla montifringilla;bird;Pinson du Nord;Chauve-souris
frog;frog;frog;;;;;;frog;;Chauve-souris
Fulatr;piaf;piaf;x;;;x;Fulica atra;bird;Foulque macroule;Chauve-souris
Fulcri;piaf;piaf;;;x;;Fulica cristata;bird;Foulque à crête;Chauve-souris
Furhor;Furhor;Furhor;;;;;Furipterus horrens;bat;;Chauve-souris
Galchl;piaf;piaf;x;;;x;Gallinula chloropus;bird;Gallinule poule-d'eau;Chauve-souris
Galdom;piaf;piaf;x;;;x;Gallus gallus;bird;Poule;Chauve-souris
Galgal;piaf;piaf;x;;;x;Gallinago gallinago;bird;Bécassine des marais;Chauve-souris
Gargla;piaf;piaf;x;;;x;Garrulus glandarius;bird;Geai des chênes;Chauve-souris
Glapoe;Glapoe;Glapoe;;;;;Glauconycteris poensis;bat;Glauconycteris poensis;Chauve-souris
Glavar;Glavar;Glavar;;;;;Glauconycteris variegata;bat;Glauconycteris variegata;Chauve-souris
Glosor;Glosor;Glosor;;;;;Glossophaga soricina;bat;;Chauve-souris
Glydav;Glydav;Glydav;;;;;Glyphonycteris daviesi;bat;;Chauve-souris
Glysyl;Glysyl;Glysyl;;;;;Glyphonycteris sylvestris;bat;;Chauve-souris
grasshopper;grasshopper;grasshopper;;;;;;grasshopper;;Chauve-souris
gril;gril;gril;x;x;x;x;Gryllidae sp.;ground-cricket;grillon sp.;Chauve-souris
ground-cricket;ground-cricket;ground-cricket;;;;;;ground-cricket;;Chauve-souris
Grugru;piaf;piaf;x;;;x;Grus grus;bird;Grue cendrée;Chauve-souris
Grybim;gril;gril;x;;;;Gryllus bimaculatus;ground-cricket;Grillon de Provence;Chauve-souris
Grycam;gril;gril;x;x;x;;Gryllus campestris;ground-cricket;Grillon champêtre;Chauve-souris
gunsht;gunsht;gunsht;x;;;x;Gun shot;noise;Tir;Chauve-souris
Haeost;piaf;piaf;x;;;x;Haematopus ostralegus;bird;Huitrier pie;Chauve-souris
Hipaba;Hipaba;Hipaba;;;;;Hipposideros abae;bat;Hipposideros abae;Chauve-souris
Hipcaf;Hipcaf;Hipcaf;;;;;Hipposideros caffer;bat;Hipposideros caffer;Chauve-souris
Hipcyc;Hipcyc;Hipcyc;;;;;Hipposideros cyclosus;bat;Hipposideros cyclosus;Chauve-souris
Hippol;piaf;piaf;x;;;;Hippolais polyglotta;bird;Hypola‹s polyglotte;Chauve-souris
Hipru1;Hipru1;Hipru1;;;;;Hipposideros ruber haplotype 1;bat;Hipposideros ruber haplotype 1;Chauve-souris
Hipru2;Hipru2;Hipru2;;;;;Hipposideros ruber haplotype 2;bat;Hipposideros ruber haplotype 2;Chauve-souris
Hipru3;Hipru3;Hipru3;;;;;Hipposideros ruber haplotype 3;bat;Hipposideros ruber haplotype 3;Chauve-souris
Hiprub;Hiprub;Hiprub;;;;;Hipposideros ruber;bat;Hipposideros ruber;Chauve-souris
Hirrus;piaf;piaf;x;;;x;Hirundo rustica;bird;Hirondelle rustique;Chauve-souris
Homsap;mamm;mamm;x;x;x;x;Homo sapiens;other-mammal;voix;Chauve-souris
Hylmer;amph;amph;x;;x;;Hyla meridionalis;frog;Rainette méridionale;Chauve-souris
Hypsav;Hypsav;Hypsav;x;x;x;;Hypsugo savii;bat;Vespere de Savi;Chauve-souris
insect;insect;insect;;;;;;insect;;Chauve-souris
Insp10;Insp10;Insp10;x;x;x;x;Insect sp.10;insect;Insecte sp. type 10;Chauve-souris
Insp11;Insp11;Insp11;x;x;x;x;Insect sp.11;insect;Insecte sp. type 11;Chauve-souris
Insp12;Insp12;Insp12;x;x;x;x;Insect sp.12;insect;Insecte sp. type 12;Chauve-souris
Inssp1;Inssp1;Inssp1;x;;x;x;Insect sp.1;insect;Insecte sp. type 1;Chauve-souris
Inssp2;Inssp2;Inssp2;x;;x;x;Insect sp.2;insect;Insecte sp. type 2;Chauve-souris
Inssp5;Inssp5;Inssp5;x;;x;x;Insect sp.5;insect;Insecte sp. type 5;Chauve-souris
Inssp6;Yposp;Yposp;x;;x;x;Insect sp.6;insect;Insecte sp. type 6;Chauve-souris
Inssp7;Inssp7;Inssp7;x;;x;x;Insect sp.7;insect;Insecte sp. type 7;Chauve-souris
Inssp8;Inssp8;Inssp8;x;x;x;x;Insect sp. 8;insect;Insecte sp. type 8;Chauve-souris
Inssp9;Yposp;Yposp;x;x;x;x;Insect sp. 9;insect;Insecte sp. type 9;Chauve-souris
INSSPE;INSSPE;INSSPE;x;;;x;Insect spp;insect;Insecte sp.;Chauve-souris
InsTu1;InsTu1;InsTu1;;x;;;Insect sp. from Turkey 1;insect;Insecte sp. Tu1;Chauve-souris
Isopyr;Isopyr;Isopyr;x;x;x;;Isophya pyrenaea;bush-cricket;Barbatiste pyreneen;Chauve-souris
Jyntor;piaf;piaf;x;;;;Jinx torquilla;bird;Torcol fourmilier;Chauve-souris
Laesp;Laesp;Laesp;;;;;Laephotis sp.;bat;Laephotis sp.;Chauve-souris
Lambra;Lambra;Lambra;;;;;Lampronycteris brachyotis;bat;;Chauve-souris
Lamsp.;Lamsp.;Lamsp.;x;x;x;x;Lampyris sp.;beetle;Lampyre sp.;Chauve-souris
Lanmer;piaf;piaf;x;;;;Lanius meridionalis;bird;Pie-grièche méridionale;Chauve-souris
Lansen;piaf;piaf;x;;;;Lanius senator;bird;Pie-grièche à tête rousse;Chauve-souris
Lararg;piaf;piaf;x;;;x;Larus argentatus;bird;Goéland argenté;Chauve-souris
